                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121380 |   40121674 |   40093405
  Cycles                             |   40447694 |   40447694 |   40447694
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15205900 |   15205900 |   15205900
  Idle time (ns)                     |        -14 |        -31 |        -31
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021975 |   10022006 |   10015089
  num incorrect                      |       1487 |       1519 |       1442
  misprediction rate                 |      0.01% |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   20015278 |   20015334 |   20001525
    num misses                       |         50 |         52 |         48
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40062 |      40210 |      39847
    num misses                       |         74 |         74 |         73
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        124 |        126 |        121
    num misses                       |        120 |        122 |        117
    miss rate                        |     96.77% |     96.83% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   20015278 |   20015334 |   20001525
    num cache misses                 |       1304 |       1343 |       1248
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      40062 |      40210 |      39847
    num cache misses                 |       2197 |       2203 |       2160
    miss rate                        |      5.48% |      5.48% |      5.42%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L2                           |            |            |           
    num cache accesses               |       3541 |       3591 |       3448
    num cache misses                 |       2671 |       2687 |       2640
    miss rate                        |     75.43% |     74.83% |     76.57%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2715 |       2733 |       2682
    num cache misses                 |       2448 |       2481 |       2414
    miss rate                        |     90.17% |     90.78% |     90.01%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7343 |          0 |          0
  average dram access latency (ns)   |      69.73 |        inf |        inf
  average dram queueing delay        |      16.30 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1129 |       1130 |       1124
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
