                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   70121667 |   70121593 |   70119731 |   70121732 |   70121267
  Cycles                             |  300770988 |  300770988 |  300770988 |  300770988 |  300770988
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |  113071800 |  113071800 |  113071800 |  113071800 |  113071800
  Idle time (ns)                     |         57 |        -23 |       -168 |       -168 |        -23
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022005 |   10021998 |   10021759 |   10022008 |   10021958
  num incorrect                      |       1516 |       1507 |       1443 |       1519 |       1475
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15335 |      15322 |      15171 |      15340 |      15256
    num misses                       |         51 |         51 |         48 |         52 |         49
    miss rate                        |      0.33% |      0.33% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   60040266 |   60040227 |   60038950 |   60040245 |   60040052
    num misses                       |         80 |         80 |         79 |         80 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        131 |        131 |        127 |        132 |        128
    num misses                       |        120 |        120 |        116 |        121 |        117
    miss rate                        |     91.60% |     91.60% |     91.34% |     91.67% |     91.41%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15335 |      15322 |      15171 |      15340 |      15256
    num cache misses                 |       3666 |       3643 |       3390 |       3440 |       3517
    miss rate                        |     23.91% |     23.78% |     22.35% |     22.43% |     23.05%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   60040266 |   60040227 |   60038950 |   60040245 |   60040052
    num cache misses                 |       3458 |       3456 |       3309 |       3381 |       3353
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7158 |       7133 |       6731 |       6855 |       6902
    num cache misses                 |       3260 |       3255 |       3171 |       3263 |       3203
    miss rate                        |     45.54% |     45.63% |     47.11% |     47.60% |     46.41%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3294 |       3290 |       3205 |       3298 |       3238
    num cache misses                 |       2478 |       2469 |       2416 |       2482 |       2439
    miss rate                        |     75.23% |     75.05% |     75.38% |     75.26% |     75.32%
    mpki                             |       0.04 |       0.04 |       0.03 |       0.04 |       0.03
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12284 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      71.61 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.18 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1142 |       1146 |       1138 |       1144 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
