                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121650 |   40121031 |   40121557 |   40121301 |   40120830
  Cycles                             |   67396420 |   67396420 |   67396420 |   67396420 |   67396420
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25337000 |   25337000 |   25337000 |   25337000 |   25337000
  Idle time (ns)                     |       -453 |        -66 |        296 |       -453 |        -66
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022008 |   10021937 |   10022001 |   10021964 |   10021919
  num incorrect                      |       1517 |       1468 |       1510 |       1475 |       1451
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15334 |      15220 |      15324 |      15255 |      15185
    num misses                       |         52 |         49 |         51 |         50 |         49
    miss rate                        |      0.34% |      0.32% |      0.33% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40218 |      39971 |      40228 |      40049 |      39898
    num misses                       |         76 |         75 |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        128 |        124 |        127 |        125 |        124
    num misses                       |        121 |        117 |        120 |        118 |        117
    miss rate                        |     94.53% |     94.35% |     94.49% |     94.40% |     94.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15334 |      15220 |      15324 |      15255 |      15185
    num cache misses                 |       3906 |       3851 |       3921 |       3827 |       3522
    miss rate                        |     25.47% |     25.30% |     25.59% |     25.09% |     23.19%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.09
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40218 |      39971 |      40228 |      40049 |      39898
    num cache misses                 |       3745 |       3610 |       3705 |       3718 |       3469
    miss rate                        |      9.31% |      9.03% |      9.21% |      9.28% |      8.69%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7685 |       7494 |       7659 |       7577 |       7023
    num cache misses                 |       3261 |       3231 |       3280 |       3247 |       3198
    miss rate                        |     42.43% |     43.11% |     42.83% |     42.85% |     45.54%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3299 |       3268 |       3318 |       3282 |       3235
    num cache misses                 |       2477 |       2430 |       2471 |       2439 |       2425
    miss rate                        |     75.08% |     74.36% |     74.47% |     74.31% |     74.96%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12242 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      71.98 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.55 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1137 |       1130 |       1138 |       1133 |       1131
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
