                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   77293974 |   77356620 |   77940052 |   77522703 |   77781324 |   78256724 |   77745734 |   78217911 |   77959943 |   78157896 |   77969847 |   78045561 |   78050200 |   77964022
  Cycles                             |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662 |  936401662
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700 |  352030700
  Idle time (ns)                     |        132 |         13 |         90 |        299 |        127 |        -66 |        277 |        -66 |        237 |        116 |         90 |        321 |         13 |        264
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2145534 |    2147248 |    2163217 |    2151793 |    2158874 |    2171907 |    2157899 |    2170821 |    2163762 |    2169180 |    2164033 |    2166105 |    2166232 |    2163873
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8420411 |    8427217 |    8490596 |    8445258 |    8473355 |    8525013 |    8469488 |    8520780 |    8492758 |    8514263 |    8493834 |    8502059 |    8502563 |    8493200
    num misses                       |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35612995 |   35641801 |   35910066 |   35718173 |   35837084 |   36055621 |   35820720 |   36037813 |   35919213 |   36010228 |   35923766 |   35958577 |   35960710 |   35921088
