                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |    70094755 |    70097887 |    70121386 |    70121736 |    70110946 |    70107968 |    70099394 |    70111409 |    70093121 |    70104468 |    70094538 |    70103733 |    70121131 |    70121650 |    70097863 |    70103855
  Cycles                             |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944 |  2204257944
  IPC                                |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                          |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400 |   828668400
  Idle time (ns)                     |         292 |         417 |        6278 |         -30 |         219 |         292 |         281 |         215 |         108 |         174 |         219 |         603 |        9026 |        3422 |         108 |         -30
  Idle time (%)                      |        0.0% |        0.0% |        0.0% |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |       -0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |    10018189 |    10018636 |    10021970 |    10022008 |    10020502 |    10020076 |    10018852 |    10020568 |    10017955 |    10019576 |    10018158 |    10019471 |    10021940 |    10022003 |    10018633 |    10019489
  num incorrect                      |        1443 |        1443 |        1484 |        1519 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1443 |        1471 |        1513 |        1443 |        1443
  misprediction rate                 |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.02% |       0.01% |       0.01%
  mpki                               |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15171 |       15171 |       15276 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15229 |       15330 |       15171 |       15171
    num misses                       |          48 |          48 |          50 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          49 |          51 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.33% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.33% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    60017525 |    60020211 |    60040105 |    60040247 |    60031410 |    60028859 |    60021509 |    60031804 |    60016130 |    60025856 |    60017346 |    60025225 |    60040007 |    60040258 |    60020198 |    60025332
    num misses                       |          79 |          79 |          80 |          80 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          79 |          80 |          79 |          79
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         127 |         127 |         130 |         132 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         127 |         128 |         131 |         127 |         127
    num misses                       |         116 |         116 |         119 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         117 |         120 |         116 |         116
    miss rate                        |      91.34% |      91.34% |      91.54% |      91.67% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.34% |      91.41% |      91.60% |      91.34% |      91.34%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15171 |       15171 |       15276 |       15340 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15171 |       15229 |       15330 |       15171 |       15171
    num cache misses                 |        6747 |        6841 |        6489 |        5710 |        6581 |        6988 |        6966 |        6029 |        6691 |        6915 |        6961 |        6915 |        6429 |        6553 |        6793 |        6876
    miss rate                        |      44.47% |      45.09% |      42.48% |      37.22% |      43.38% |      46.06% |      45.92% |      39.74% |      44.10% |      45.58% |      45.88% |      45.58% |      42.22% |      42.75% |      44.78% |      45.32%
    mpki                             |        0.10 |        0.10 |        0.09 |        0.08 |        0.09 |        0.10 |        0.10 |        0.09 |        0.10 |        0.10 |        0.10 |        0.10 |        0.09 |        0.09 |        0.10 |        0.10
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    60017525 |    60020211 |    60040105 |    60040247 |    60031410 |    60028859 |    60021509 |    60031804 |    60016130 |    60025856 |    60017346 |    60025225 |    60040007 |    60040258 |    60020198 |    60025332
    num cache misses                 |    41665946 |    41668738 |    41670660 |    41667449 |    41669907 |    41671361 |    41668825 |    41666673 |    41665280 |    41670080 |    41663715 |    41668707 |    41671893 |    41671407 |    41667524 |    41670004
    miss rate                        |      69.42% |      69.42% |      69.40% |      69.40% |      69.41% |      69.42% |      69.42% |      69.41% |      69.42% |      69.42% |      69.42% |      69.42% |      69.41% |      69.41% |      69.42% |      69.42%
    mpki                             |      594.42 |      594.44 |      594.26 |      594.22 |      594.34 |      594.39 |      594.42 |      594.29 |      594.43 |      594.40 |      594.39 |      594.39 |      594.28 |      594.27 |      594.42 |      594.40
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    41672729 |    41675615 |    41677185 |    41673196 |    41676525 |    41678381 |    41675826 |    41672736 |    41672005 |    41677031 |    41670710 |    41675658 |    41678360 |    41678001 |    41674355 |    41676917
    num cache misses                 |    41670250 |    41673365 |    41674472 |    41671023 |    41674025 |    41675752 |    41673401 |    41670167 |    41669368 |    41674739 |    41668303 |    41672925 |    41675607 |    41675293 |    41672085 |    41674564
    miss rate                        |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99% |      99.99%
    mpki                             |      594.48 |      594.50 |      594.32 |      594.27 |      594.40 |      594.45 |      594.49 |      594.34 |      594.49 |      594.47 |      594.46 |      594.45 |      594.34 |      594.33 |      594.48 |      594.47
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    41670291 |    41673405 |    41674510 |    41671060 |    41674065 |    41675787 |    41673440 |    41670202 |    41669405 |    41674777 |    41668343 |    41672962 |    41675647 |    41675337 |    41672126 |    41674604
    num cache misses                 |        2608 |        2595 |        2618 |        2627 |        2593 |        2602 |        2595 |        2578 |        2590 |        2601 |        2594 |        2591 |        2603 |        2644 |        2611 |        2594
    miss rate                        |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01% |       0.01%
    mpki                             |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       42935 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       97.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       44.35 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        1252 |        1251 |        1238 |        1235 |        1240 |        1255 |        1263 |        1223 |        1250 |        1250 |        1248 |        1247 |        1232 |        1247 |        1253 |        1248
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
