                                     | Core 0    
  Instructions                       |    3283376
  Cycles                             |    1752408
  IPC                                |       1.87
  Time (ns)                          |     658800
  Idle time (ns)                     |        -60
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |     487458
  num incorrect                      |       6909
  misprediction rate                 |      1.40%
  mpki                               |       2.10
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     554382
    num misses                       |        143
    miss rate                        |      0.03%
    mpki                             |       0.04
  D-TLB                              |           
    num accesses                     |    1249153
    num misses                       |        335
    miss rate                        |      0.03%
    mpki                             |       0.10
  L2 TLB                             |           
    num accesses                     |        478
    num misses                       |        293
    miss rate                        |     61.30%
    mpki                             |       0.09
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     554382
    num cache misses                 |       2017
    miss rate                        |      0.36%
    mpki                             |       0.61
  Cache L1-D                         |           
    num cache accesses               |    1249153
    num cache misses                 |       8155
    miss rate                        |      0.65%
    mpki                             |       2.48
  Cache L2                           |           
    num cache accesses               |      10437
    num cache misses                 |       7207
    miss rate                        |     69.05%
    mpki                             |       2.19
  Cache L3                           |           
    num cache accesses               |       7479
    num cache misses                 |       7046
    miss rate                        |     94.21%
    mpki                             |       2.15
DRAM summary                         |           
  num dram accesses                  |       7046
  average dram access latency (ns)   |      56.70
  average dram queueing delay        |       3.27
  average dram bandwidth utilization |      9.00%
Coherency Traffic                    |           
  num loads from dram                |       3174
  num loads from dram cache          |          0
  num loads from remote cache        |          0
