                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   78228872 |   78224882 |   78237300 |   78256734
  Cycles                             |  182989646 |  182989646 |  182989646 |  182989646
  IPC                                |       0.43 |       0.43 |       0.43 |       0.43
  Time (ns)                          |   68793100 |   68793100 |   68793100 |   68793100
  Idle time (ns)                     |         36 |         -3 |         36 |         -3
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2171122 |    2171013 |    2171353 |    2171907
  num incorrect                      |        981 |        981 |        981 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    8521972 |    8521540 |    8522887 |    8525013
    num misses                       |         40 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   36042863 |   36041021 |   36046741 |   36055627
    num misses                       |         69 |         69 |         69 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        114
    num misses                       |        109 |        109 |        109 |        112
    miss rate                        |    100.00% |    100.00% |    100.00% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    8521972 |    8521540 |    8522887 |    8525013
    num cache misses                 |      16216 |      16193 |      16175 |      16233
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.21 |       0.21 |       0.21 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   36042863 |   36041021 |   36046741 |   36055627
    num cache misses                 |    2149606 |    2149904 |    2150433 |    2151005
    miss rate                        |      5.96% |      5.97% |      5.97% |      5.97%
    mpki                             |      27.48 |      27.48 |      27.49 |      27.49
  Cache L2                           |            |            |            |           
    num cache accesses               |    2165838 |    2166113 |    2166624 |    2167258
    num cache misses                 |     114036 |     109390 |     115251 |     109178
    miss rate                        |      5.27% |      5.05% |      5.32% |      5.04%
    mpki                             |       1.46 |       1.40 |       1.47 |       1.40
  Cache L3                           |            |            |            |           
    num cache accesses               |     114053 |     109407 |     115268 |     109199
    num cache misses                 |       3776 |       3776 |       3776 |       3826
    miss rate                        |      3.31% |      3.45% |      3.28% |      3.50%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |      15154 |          0 |          0 |          0
  average dram access latency (ns)   |      60.46 |        inf |        inf |        inf
  average dram queueing delay        |       7.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1124 |       1127 |       1125 |       1141
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
