                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |     120990 |     119914 |     117460 |     117525 |     117952 |     117357 |     117076 |     121632 |     116456 |     121047 |     118799 |     117263
  Cycles                             |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772 |     968772
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200 |     364200
  Idle time (ns)                     |         73 |        -59 |        234 |        937 |        181 |        438 |        -19 |        -59 |         -4 |        139 |        788 |         -8
  Idle time (%)                      |       0.0% |      -0.0% |       0.1% |       0.3% |       0.0% |       0.1% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.2% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21937 |      21804 |      21403 |      21408 |      21457 |      21394 |      21362 |      22012 |      21276 |      21944 |      21561 |      21391
  num incorrect                      |       1463 |       1400 |       1355 |       1355 |       1358 |       1348 |       1343 |       1514 |       1343 |       1466 |       1366 |       1344
  misprediction rate                 |      6.25% |      6.03% |      5.95% |      5.95% |      5.95% |      5.93% |      5.91% |      6.44% |      5.94% |      6.26% |      5.96% |      5.91%
  mpki                               |      12.09 |      11.68 |      11.54 |      11.53 |      11.51 |      11.49 |      11.47 |      12.45 |      11.53 |      12.11 |      11.50 |      11.46
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15209 |      15068 |      14866 |      14873 |      14906 |      14850 |      14800 |      15330 |      14738 |      15220 |      14995 |      14829
    num misses                       |         49 |         45 |         42 |         42 |         42 |         41 |         41 |         52 |         41 |         49 |         45 |         41
