                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |      89385 |      90563 |      89661 |      90318 |      90356 |      88547 |      85761 |      85485 |      86867
  Cycles                             |     937118 |     937118 |     937118 |     937118 |     937118 |     937118 |     937118 |     937118 |     937118
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     352300 |     352300 |     352300 |     352300 |     352300 |     352300 |     352300 |     352300 |     352300
  Idle time (ns)                     |         56 |        -25 |         23 |        786 |       1035 |         47 |         56 |         -4 |        -25
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.2% |       0.3% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      19446 |      19646 |      19501 |      19622 |      19624 |      19278 |      18721 |      18665 |      18942
  num incorrect                      |       1046 |       1085 |       1046 |       1059 |       1068 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.10% |      5.23% |      5.09% |      5.12% |      5.16% |      5.15% |      5.29% |      5.31% |      5.23%
  mpki                               |      11.70 |      11.98 |      11.67 |      11.73 |      11.82 |      11.81 |      12.20 |      12.24 |      12.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4859 |       4798 |       4825 |       4832 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         45 |         42 |         43 |         43 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.93% |      0.88% |      0.89% |      0.89% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.47 |       0.50 |       0.47 |       0.48 |       0.48 |       0.47 |       0.49 |       0.49 |       0.48
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      68572 |      69710 |      68914 |      69627 |      69658 |      67574 |      64231 |      63898 |      65557
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.24 |       0.24 |       0.25 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         66 |         63 |         64 |         64 |         63 |         63 |         63 |         63
    num misses                       |         63 |         66 |         63 |         64 |         64 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.70 |       0.73 |       0.70 |       0.71 |       0.71 |       0.71 |       0.73 |       0.74 |       0.73
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4859 |       4798 |       4825 |       4832 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1508 |       1527 |       1591 |       1607 |       1550 |       1533 |       1406 |       1286 |       1379
    miss rate                        |     31.43% |     31.43% |     33.16% |     33.31% |     32.08% |     31.95% |     29.30% |     26.80% |     28.74%
    mpki                             |      16.87 |      16.86 |      17.74 |      17.79 |      17.15 |      17.31 |      16.39 |      15.04 |      15.87
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      68572 |      69710 |      68914 |      69627 |      69658 |      67574 |      64231 |      63898 |      65557
    num cache misses                 |      15251 |      15300 |      15326 |      15324 |      15317 |      15288 |      15212 |      15121 |      15168
    miss rate                        |     22.24% |     21.95% |     22.24% |     22.01% |     21.99% |     22.62% |     23.68% |     23.66% |     23.14%
    mpki                             |     170.62 |     168.94 |     170.93 |     169.67 |     169.52 |     172.65 |     177.38 |     176.88 |     174.61
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      16774 |      16848 |      16936 |      16947 |      16887 |      16839 |      16637 |      16424 |      16564
    num cache misses                 |      15521 |      15678 |      15630 |      15609 |      15576 |      15677 |      15596 |      15634 |      15613
    miss rate                        |     92.53% |     93.06% |     92.29% |     92.10% |     92.24% |     93.10% |     93.74% |     95.19% |     94.26%
    mpki                             |     173.64 |     173.12 |     174.32 |     172.82 |     172.38 |     177.05 |     181.85 |     182.89 |     179.73
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15539 |      15700 |      15649 |      15626 |      15598 |      15696 |      15615 |      15654 |      15633
    num cache misses                 |        715 |        765 |        718 |        731 |        738 |        719 |        718 |        715 |        719
    miss rate                        |      4.60% |      4.87% |      4.59% |      4.68% |      4.73% |      4.58% |      4.60% |      4.57% |      4.60%
    mpki                             |       8.00 |       8.45 |       8.01 |       8.09 |       8.17 |       8.12 |       8.37 |       8.36 |       8.28
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       6584 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     104.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      51.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |        171 |        187 |        179 |        174 |        175 |        183 |        173 |        171 |        176
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
