                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |      36903 |      39781 |      39787 |      36329 |      36524 |      39561
  Cycles                             |     160930 |     160930 |     160930 |     160930 |     160930 |     160930
  IPC                                |       0.23 |       0.25 |       0.25 |       0.23 |       0.23 |       0.25
  Time (ns)                          |      60500 |      60500 |      60500 |      60500 |      60500 |      60500
  Idle time (ns)                     |         52 |        -92 |        178 |        -18 |        117 |         64
  Idle time (%)                      |       0.1% |      -0.2% |       0.3% |      -0.0% |       0.2% |       0.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |       8466 |       8597 |       8597 |       8424 |       8439 |       8572
  num incorrect                      |        970 |       1013 |       1013 |        957 |        962 |        987
  misprediction rate                 |     10.28% |     10.54% |     10.54% |     10.20% |     10.23% |     10.33%
  mpki                               |      26.29 |      25.46 |      25.46 |      26.34 |      26.34 |      24.95
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |       4518 |       4782 |       4784 |       4450 |       4483 |       4737
    num misses                       |         39 |         42 |         43 |         39 |         39 |         40
    miss rate                        |      0.86% |      0.88% |      0.90% |      0.88% |      0.87% |      0.84%
    mpki                             |       1.06 |       1.06 |       1.08 |       1.07 |       1.07 |       1.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |       9106 |      10462 |      10463 |       8747 |       8861 |      10355
    num misses                       |         22 |         22 |         22 |         22 |         22 |         22
    miss rate                        |      0.24% |      0.21% |      0.21% |      0.25% |      0.25% |      0.21%
    mpki                             |       0.60 |       0.55 |       0.55 |       0.61 |       0.60 |       0.56
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |         61 |         64 |         65 |         61 |         61 |         62
    num misses                       |         61 |         64 |         65 |         61 |         61 |         62
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       1.65 |       1.61 |       1.63 |       1.68 |       1.67 |       1.57
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |       4518 |       4782 |       4784 |       4450 |       4483 |       4737
    num cache misses                 |       1696 |       1618 |       1645 |       1660 |       1691 |       1746
    miss rate                        |     37.54% |     33.84% |     34.39% |     37.30% |     37.72% |     36.86%
    mpki                             |      45.96 |      40.67 |      41.35 |      45.69 |      46.30 |      44.13
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |       9106 |      10462 |      10463 |       8747 |       8861 |      10355
    num cache misses                 |       1307 |       1233 |       1269 |       1274 |       1298 |       1301
    miss rate                        |     14.35% |     11.79% |     12.13% |     14.56% |     14.65% |     12.56%
    mpki                             |      35.42 |      30.99 |      31.89 |      35.07 |      35.54 |      32.89
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       3018 |       2871 |       2935 |       2950 |       3003 |       3062
    num cache misses                 |        851 |        892 |        875 |        835 |        849 |        867
    miss rate                        |     28.20% |     31.07% |     29.81% |     28.31% |     28.27% |     28.31%
    mpki                             |      23.06 |      22.42 |      21.99 |      22.98 |      23.24 |      21.92
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |        869 |        916 |        899 |        853 |        867 |        886
    num cache misses                 |        723 |        775 |        777 |        718 |        718 |        743
    miss rate                        |     83.20% |     84.61% |     86.43% |     84.17% |     82.81% |     83.86%
    mpki                             |      19.59 |      19.48 |      19.53 |      19.76 |      19.66 |      18.78
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |       4454 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     199.62 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     146.19 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     62.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |        158 |        174 |        173 |        159 |        159 |        163
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
