                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28759893 |   28759634 |   28759594 |   28737799
  Cycles                             |   74279968 |   74279968 |   74279968 |   74279968
  IPC                                |       0.39 |       0.39 |       0.39 |       0.39
  Time (ns)                          |   27924800 |   27924800 |   27924800 |   27924800
  Idle time (ns)                     |       -117 |         75 |        -18 |       -117
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059719 |    1059687 |    1059680 |    1059235
  num incorrect                      |       8006 |       7980 |       7979 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2876325 |    2876279 |    2876271 |    2874558
    num misses                       |         63 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15778121 |   15777999 |   15778020 |   15766686
    num misses                       |       6344 |       6339 |       6342 |       6284
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6407 |       6400 |       6403 |       6345
    num misses                       |        333 |        326 |        329 |        320
    miss rate                        |      5.20% |      5.09% |      5.14% |      5.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2876325 |    2876279 |    2876271 |    2874558
    num cache misses                 |     136035 |     139027 |     136784 |     138227
    miss rate                        |      4.73% |      4.83% |      4.76% |      4.81%
    mpki                             |       4.73 |       4.83 |       4.76 |       4.81
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15778121 |   15777999 |   15778020 |   15766686
    num cache misses                 |     176578 |     183447 |     182396 |     173135
    miss rate                        |      1.12% |      1.16% |      1.16% |      1.10%
    mpki                             |       6.14 |       6.38 |       6.34 |       6.02
  Cache L2                           |            |            |            |           
    num cache accesses               |     312637 |     322496 |     319202 |     311384
    num cache misses                 |      63042 |      63008 |      62930 |      62545
    miss rate                        |     20.16% |     19.54% |     19.71% |     20.09%
    mpki                             |       2.19 |       2.19 |       2.19 |       2.18
  Cache L3                           |            |            |            |           
    num cache accesses               |      63081 |      63039 |      62963 |      62574
    num cache misses                 |      13885 |      13850 |      13848 |      13819
    miss rate                        |     22.01% |     21.97% |     21.99% |     22.08%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55402 |          0 |          0 |          0
  average dram access latency (ns)   |      56.48 |        inf |        inf |        inf
  average dram queueing delay        |       3.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4665 |       4650 |       4642 |       4650
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
