                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     121648 |     111954 |     114665 |     113290 |     114683 |     111732 |     120517 |     117399 |     116471 |     115828 |     113209 |     111650 |     112603
  Cycles                             |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326 |    1040326
  IPC                                |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100 |     391100
  Idle time (ns)                     |        -83 |        134 |         47 |        262 |         21 |        267 |        523 |        809 |        143 |        -83 |         -7 |         97 |         21
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.1% |       0.0% |       0.1% |       0.1% |       0.2% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22012 |      20685 |      21041 |      20863 |      21043 |      20656 |      21905 |      21401 |      21279 |      21193 |      20854 |      20645 |      20778
  num incorrect                      |       1514 |       1309 |       1333 |       1321 |       1333 |       1308 |       1429 |       1351 |       1343 |       1339 |       1320 |       1308 |       1314
  misprediction rate                 |      6.44% |      5.95% |      5.96% |      5.95% |      5.96% |      5.96% |      6.12% |      5.94% |      5.94% |      5.94% |      5.95% |      5.96% |      5.95%
  mpki                               |      12.45 |      11.69 |      11.63 |      11.66 |      11.62 |      11.71 |      11.86 |      11.51 |      11.53 |      11.56 |      11.66 |      11.72 |      11.67
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      14260 |      14549 |      14399 |      14550 |      14243 |      15132 |      14855 |      14740 |      14677 |      14390 |      14237 |      14334
    num misses                       |         52 |         41 |         41 |         41 |         41 |         41 |         47 |         41 |         41 |         41 |         41 |         41 |         41
    miss rate                        |      0.34% |      0.29% |      0.28% |      0.28% |      0.28% |      0.29% |      0.31% |      0.28% |      0.28% |      0.28% |      0.28% |      0.29% |      0.29%
    mpki                             |       0.43 |       0.37 |       0.36 |       0.36 |       0.36 |       0.37 |       0.39 |       0.35 |       0.35 |       0.35 |       0.36 |       0.37 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40214 |      36886 |      37885 |      37389 |      37889 |      36792 |      39740 |      38955 |      38569 |      38331 |      37368 |      36767 |      37157
    num misses                       |         77 |         69 |         70 |         70 |         70 |         69 |         76 |         70 |         70 |         70 |         70 |         69 |         70
    miss rate                        |      0.19% |      0.19% |      0.18% |      0.19% |      0.18% |      0.19% |      0.19% |      0.18% |      0.18% |      0.18% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.62 |       0.61 |       0.62 |       0.61 |       0.62 |       0.63 |       0.60 |       0.60 |       0.60 |       0.62 |       0.62 |       0.62
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        129 |        110 |        111 |        111 |        111 |        110 |        123 |        111 |        111 |        111 |        111 |        110 |        111
    num misses                       |        123 |        108 |        108 |        108 |        108 |        108 |        117 |        108 |        108 |        108 |        108 |        108 |        108
    miss rate                        |     95.35% |     98.18% |     97.30% |     97.30% |     97.30% |     98.18% |     95.12% |     97.30% |     97.30% |     97.30% |     97.30% |     98.18% |     97.30%
    mpki                             |       1.01 |       0.96 |       0.94 |       0.95 |       0.94 |       0.97 |       0.97 |       0.92 |       0.93 |       0.93 |       0.95 |       0.97 |       0.96
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      14260 |      14549 |      14399 |      14550 |      14243 |      15132 |      14855 |      14740 |      14677 |      14390 |      14237 |      14334
    num cache misses                 |       5391 |       6190 |       6492 |       6398 |       6493 |       6166 |       6017 |       6322 |       6493 |       6309 |       6420 |       6187 |       6162
    miss rate                        |     35.17% |     43.41% |     44.62% |     44.43% |     44.63% |     43.29% |     39.76% |     42.56% |     44.05% |     42.99% |     44.61% |     43.46% |     42.99%
    mpki                             |      44.32 |      55.29 |      56.62 |      56.47 |      56.62 |      55.19 |      49.93 |      53.85 |      55.75 |      54.47 |      56.71 |      55.41 |      54.72
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40214 |      36886 |      37885 |      37389 |      37889 |      36792 |      39740 |      38955 |      38569 |      38331 |      37368 |      36767 |      37157
    num cache misses                 |       7832 |       8484 |       8753 |       8739 |       8781 |       8403 |       8251 |       8620 |       8715 |       8641 |       8743 |       8519 |       8457
    miss rate                        |     19.48% |     23.00% |     23.10% |     23.37% |     23.18% |     22.84% |     20.76% |     22.13% |     22.60% |     22.54% |     23.40% |     23.17% |     22.76%
    mpki                             |      64.38 |      75.78 |      76.34 |      77.14 |      76.57 |      75.21 |      68.46 |      73.42 |      74.83 |      74.60 |      77.23 |      76.30 |      75.10
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13259 |      14705 |      15276 |      15169 |      15306 |      14600 |      14300 |      14975 |      15240 |      14982 |      15195 |      14736 |      14650
