                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   60121503 |   60121163 |   60121654
  Cycles                             |   60471908 |   60471908 |   60471908
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   22733800 |   22733800 |   22733800
  Idle time (ns)                     |        -69 |       -394 |       -394
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021999 |   10021960 |   10022010
  num incorrect                      |       1502 |       1471 |       1516
  misprediction rate                 |      0.01% |      0.01% |      0.02%
  mpki                               |       0.02 |       0.02 |       0.03
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15313 |      15246 |      15333
    num misses                       |         51 |         49 |         52
    miss rate                        |      0.33% |      0.32% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40180 |      40036 |      40224
    num misses                       |        159 |        158 |        159
    miss rate                        |      0.40% |      0.39% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        210 |        207 |        211
    num misses                       |        126 |        123 |        127
    miss rate                        |     60.00% |     59.42% |     60.19%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15313 |      15246 |      15333
    num cache misses                 |       1447 |       1394 |       1438
    miss rate                        |      9.45% |      9.14% |      9.38%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |      40180 |      40036 |      40224
    num cache misses                 |       2249 |       2260 |       2255
    miss rate                        |      5.60% |      5.64% |      5.61%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |           
    num cache accesses               |       3737 |       3697 |       3738
    num cache misses                 |       2740 |       2711 |       2754
    miss rate                        |     73.32% |     73.33% |     73.68%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       2782 |       2755 |       2799
    num cache misses                 |       2460 |       2433 |       2477
    miss rate                        |     88.43% |     88.31% |     88.50%
    mpki                             |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |           
  num dram accesses                  |       7370 |          0 |          0
  average dram access latency (ns)   |      70.26 |        inf |        inf
  average dram queueing delay        |      16.83 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1129 |       1128 |       1139
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
